epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.6,0.6916,1.38937,0.96588,0.91986,0.91526,0.95524,0.80596,0.59286,0.74501,0.88443,0.00331683,0.00331683,0.0701485
2,1362.05,0.67862,0.72373,0.94157,0.91584,0.91295,0.95109,0.7443,0.70699,0.73532,0.93475,0.0059918,0.0059918,0.0394901
3,2028.26,0.76444,0.74118,0.98328,0.82329,0.73958,0.81633,0.52942,1.24559,1.18313,1.29317,0.00800677,0.00800677,0.00817178
4,2735.3,0.84372,0.77731,1.02154,0.87272,0.84267,0.90928,0.66303,0.92529,0.90154,1.05883,0.00703,0.00703,0.00703
5,3452.75,0.77897,0.67911,0.99521,0.88705,0.90773,0.945,0.70239,0.86201,0.75208,1.02322,0.00604,0.00604,0.00604
6,619.471,0.71459,0.59117,0.95415,0.97571,0.96269,0.98366,0.81472,0.66335,0.51444,0.91097,0.00505,0.00505,0.00505
7,1505.59,0.6365,0.51281,0.91894,0.9378,0.91551,0.96185,0.77887,0.68181,0.59109,0.94882,0.00406,0.00406,0.00406
8,2473.24,0.5729,0.45554,0.89761,0.98586,0.96904,0.9891,0.86788,0.51279,0.41491,0.85334,0.00307,0.00307,0.00307
9,3161.81,0.50476,0.40119,0.86997,0.98744,0.9861,0.99391,0.90007,0.43067,0.34134,0.83101,0.00208,0.00208,0.00208
10,3861.98,0.43624,0.35183,0.84915,0.98969,0.98334,0.99355,0.91907,0.3833,0.31037,0.81208,0.00109,0.00109,0.00109
