epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74275,1.04231,2.64927,1.37978,0.77165,0.83333,0.8885,0.6543,1.43525,1.40122,1.28201,0,0,0
2,5.77285,1.06671,3.00596,1.39913,0.80665,0.75,0.87458,0.64242,1.4584,1.41151,1.28874,1.17822e-06,1.17822e-06,1.17822e-06
3,8.06069,0.79355,2.97264,1.29883,0.75288,0.75,0.87432,0.63408,1.47947,1.43359,1.3017,2.33288e-06,2.33288e-06,2.33288e-06
4,10.1961,1.42872,2.79215,1.93195,0.70593,0.75,0.87471,0.60305,1.49299,1.46303,1.30804,3.46397e-06,3.46397e-06,3.46397e-06
5,12.6317,1.17188,3.50487,1.64692,0.68119,0.75,0.87495,0.6013,1.50893,1.46477,1.31268,4.5715e-06,4.5715e-06,4.5715e-06
6,15.1494,1.03609,2.57405,1.33086,0.68352,0.75,0.87497,0.58939,1.52794,1.50221,1.32198,5.65548e-06,5.65548e-06,5.65548e-06
7,17.2314,1.0274,2.597,1.35297,0.69025,0.75,0.88912,0.58902,1.54817,1.53994,1.3392,6.71588e-06,6.71588e-06,6.71588e-06
8,19.236,0.93945,2.33501,1.27818,0.83439,0.58333,0.88897,0.60295,1.57087,1.61908,1.36614,7.75273e-06,7.75273e-06,7.75273e-06
9,21.2981,1.12574,3.48268,1.40442,0.80591,0.58333,0.8335,0.61125,1.5731,1.65222,1.36493,8.76602e-06,8.76602e-06,8.76602e-06
10,23.4419,0.98458,2.59809,1.22772,0.78922,0.58333,0.83372,0.59474,1.56146,1.69679,1.36904,9.75574e-06,9.75574e-06,9.75574e-06
11,25.5663,1.28619,2.8134,1.50337,0.76676,0.58333,0.75134,0.58657,1.55938,1.74921,1.37701,1.07219e-05,1.07219e-05,1.07219e-05
12,27.563,0.90469,2.20205,1.3191,0.74592,0.58333,0.75054,0.5865,1.54797,1.76492,1.37205,1.16645e-05,1.16645e-05,1.16645e-05
13,29.5682,1.09747,2.35361,1.47769,0.72747,0.58333,0.75066,0.56994,1.54157,1.7746,1.36636,1.25835e-05,1.25835e-05,1.25835e-05
14,31.6484,1.04275,2.44508,1.37834,0.72748,0.58333,0.75091,0.56994,1.54752,1.798,1.37263,1.3479e-05,1.3479e-05,1.3479e-05
15,33.9372,1.08187,1.78801,1.45716,0.94758,0.39162,0.74808,0.56881,1.53828,1.83094,1.36373,1.43509e-05,1.43509e-05,1.43509e-05
16,36.1323,1.01505,2.4448,1.47015,0.94737,0.39143,0.74903,0.569,1.52625,1.879,1.3553,1.51993e-05,1.51993e-05,1.51993e-05
17,38.8288,0.95238,2.31309,1.37482,0.93729,0.37407,0.66348,0.50063,1.52749,1.90156,1.348,1.60241e-05,1.60241e-05,1.60241e-05
